name,description,type,category,price,units,stock,discount,images
Asian Apex Ultima (20 ltr),Exterior paint,External Paints,Paints,10000,Nos,72,18,https://source.unsplash.com/400x300/?paint cans&940
Asian Enemal paint (1 ltr),Enamel paint,Enamel Paints,Paints,100,Nos,49,8,https://source.unsplash.com/400x300/?paint cans&896
4x2 Tiles Johnson,Large floor tiles,Floor Tiles,Tiles & Granites,50,Sft,86,7,https://source.unsplash.com/400x300/?tiles marble&684
2x2 Tiles Johnson,Medium floor tiles,Floor Tiles,Tiles & Granites,40,Sft,44,12,https://source.unsplash.com/400x300/?tiles marble&478
1x2 Johnson,Bathroom wall tiles,Bath room Dadoo,Tiles & Granites,30,Sft,70,5,https://source.unsplash.com/400x300/?tiles marble&674
1x1 Johnson tiles,Bathroom floor tiles,Bath room Flooring,Tiles & Granites,30,Sft,18,20,https://source.unsplash.com/400x300/?tiles marble&424
White Epoxy (10 kg),Tile adhesive,Adhesives,Tiles & Granites,200,Nos,14,19,https://source.unsplash.com/400x300/?tiles marble&3
Z Block Granite,Granite slab,Granite,Tiles & Granites,100,Sft,15,18,https://source.unsplash.com/400x300/?tiles marble&943
White Marble,Marble slab,Marbles,Tiles & Granites,100,Sft,43,9,https://source.unsplash.com/400x300/?tiles marble&606
Carpenters,Skilled carpenters,Carpenters,Man Power supply,1000,Day,61,7,https://source.unsplash.com/400x300/?construction workers&719
Painters,Professional painters,Painters,Man Power supply,900,Day,73,5,https://source.unsplash.com/400x300/?construction workers&562
Electrician,Certified electricians,Electrician,Man Power supply,1100,Day,77,18,https://source.unsplash.com/400x300/?construction workers&306
Plumbers,Experienced plumbers,Plumbers,Man Power supply,1000,Day,100,1,https://source.unsplash.com/400x300/?construction workers&505
Civil Masons,Construction masons,Masons,Man Power supply,950,Day,31,0,https://source.unsplash.com/400x300/?construction workers&897
Labours,General laborers,Labour,Man Power supply,700,Day,54,10,https://source.unsplash.com/400x300/?construction workers&808
Tile labours,Tile installation experts,Tile labour,Man Power supply,850,Day,86,12,https://source.unsplash.com/400x300/?construction workers&852
JCB,Earth moving equipment,Machinery,Machinery & Equipments,5000,Day,66,1,https://source.unsplash.com/400x300/?construction machinery&558
Ex 70,Excavator,Machinery,Machinery & Equipments,6000,Day,58,16,https://source.unsplash.com/400x300/?construction machinery&85
600 cft Tipper,Large tipper truck,Machinery,Machinery & Equipments,4000,Day,63,7,https://source.unsplash.com/400x300/?construction machinery&519
300 Cft Tipper,Medium tipper truck,Machinery,Machinery & Equipments,3000,Day,44,17,https://source.unsplash.com/400x300/?construction machinery&186
JCB CC Breaker,Concrete breaker,Machinery,Machinery & Equipments,4500,Day,46,18,https://source.unsplash.com/400x300/?construction machinery&265
Drilling Machine,Power drill,Equipments,Machinery & Equipments,1500,Day,17,3,https://source.unsplash.com/400x300/?construction machinery&435
Cutting Machine,Material cutter,Equipments,Machinery & Equipments,1200,Day,30,10,https://source.unsplash.com/400x300/?construction machinery&870
Grinding Machine,Surface grinder,Equipments,Machinery & Equipments,1300,Day,37,10,https://source.unsplash.com/400x300/?construction machinery&329
